品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
不选,39-45英寸,二级效能,4k超高清(3840×2160),智慧屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,不选,68
haier,不选,不选,4k超高清(3840×2160),智慧屏,国产品牌,3.5m以上(70英寸以上),京品电视,线上专供,74
konka,78英寸及以上,无效能等级,不选,全面屏,不选,3m-3.5m(56-65英寸),新品电视,线上专供,71
不选,48-50英寸,三级效能,不选,大屏,合资品牌,3.5m以上(70英寸以上),不选,线下同款,65
华为,78英寸及以上,一级效能,全高清(1920×1080),智慧屏,不选,3.5m以上(70英寸以上),新品电视,不选,69
小米,32英寸及以下,二级效能,全高清(1920×1080),OLED,国产品牌,2m以下(≤32英寸),新品电视,线上专供,76
三星,58-60英寸,无效能等级,不选,4K超清,合资品牌,2m-2.5m(33-45英寸),京品电视,线下同款,77
三星,70-75英寸,二级效能,高清(1366×768),超薄,不选,2.5m-3m(46-55英寸),新品电视,不选,75
不选,55英寸,不选,不选,超薄,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,67
华为,55英寸,三级效能,不选,教育电视,不选,2m-2.5m(33-45英寸),京品电视,不选,72
sony,48-50英寸,三级效能,8k超高清(7680×4320),曲面,商业显示品牌,不选,新品电视,线上专供,73
菲利普,55英寸,一级效能,4k超高清(3840×2160),OLED,商业显示品牌,3.5m以上(70英寸以上),不选,线下同款,75
小米,58-60英寸,一级效能,高清(1366×768),量子点,国产品牌,3.5m以上(70英寸以上),京品电视,不选,71
华为,58-60英寸,不选,4k超高清(3840×2160),曲面,互联网品牌,3m-3.5m(56-65英寸),不选,不选,69
华为,65英寸,无效能等级,8k超高清(7680×4320),激光电视,不选,不选,新品电视,线下同款,66
长虹,不选,三级效能,全高清(1920×1080),4K超清,国产品牌,2m-2.5m(33-45英寸),新品电视,不选,66
长虹,不选,二级效能,4k超高清(3840×2160),教育电视,不选,3m-3.5m(56-65英寸),不选,线上专供,68
三星,48-50英寸,不选,8k超高清(7680×4320),量子点,互联网品牌,2m以下(≤32英寸),不选,线上专供,72
创维,48-50英寸,一级效能,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),不选,不选,68
长虹,78英寸及以上,无效能等级,高清(1366×768),商业显示,国产品牌,2.5m-3m(46-55英寸),不选,线下同款,70
Hisense,39-45英寸,不选,全高清(1920×1080),量子点,不选,2m-2.5m(33-45英寸),不选,不选,71
长虹,70-75英寸,二级效能,全高清(1920×1080),不选,商业显示品牌,不选,新品电视,线上专供,58
小米,39-45英寸,三级效能,4k超高清(3840×2160),激光电视,互联网品牌,2m-2.5m(33-45英寸),不选,线上专供,71
菲利普,65英寸,三级效能,全高清(1920×1080),智慧屏,合资品牌,3m-3.5m(56-65英寸),不选,线上专供,70
tcl,65英寸,二级效能,不选,量子点,不选,3.5m以上(70英寸以上),京品电视,线上专供,65
菲利普,不选,无效能等级,不选,激光电视,国产品牌,2m以下(≤32英寸),不选,不选,67
酷开,不选,三级效能,高清(1366×768),游戏电视,商业显示品牌,不选,不选,不选,68
创维,32英寸及以下,一级效能,4k超高清(3840×2160),教育电视,不选,2.5m-3m(46-55英寸),京品电视,线下同款,64
tcl,70-75英寸,无效能等级,4k超高清(3840×2160),游戏电视,合资品牌,2.5m-3m(46-55英寸),京品电视,不选,70
不选,39-45英寸,无效能等级,全高清(1920×1080),游戏电视,互联网品牌,不选,不选,线下同款,65
不选,32英寸及以下,二级效能,高清(1366×768),曲面,合资品牌,3m-3.5m(56-65英寸),京品电视,不选,69
三星,55英寸,一级效能,8k超高清(7680×4320),全面屏,不选,3m-3.5m(56-65英寸),京品电视,不选,65
不选,78英寸及以上,二级效能,8k超高清(7680×4320),不选,国产品牌,2m-2.5m(33-45英寸),京品电视,线上专供,57
酷开,32英寸及以下,不选,高清(1366×768),商业显示,不选,3.5m以上(70英寸以上),新品电视,线下同款,70
konka,70-75英寸,无效能等级,不选,不选,互联网品牌,2.5m-3m(46-55英寸),不选,线上专供,62
不选,不选,三级效能,8k超高清(7680×4320),超薄,合资品牌,2m以下(≤32英寸),京品电视,线下同款,57
sharp,39-45英寸,三级效能,不选,量子点,商业显示品牌,3m-3.5m(56-65英寸),新品电视,不选,70
不选,65英寸,二级效能,全高清(1920×1080),激光电视,商业显示品牌,3.5m以上(70英寸以上),京品电视,不选,61
haier,65英寸,一级效能,8k超高清(7680×4320),大屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,68
Hisense,78英寸及以上,一级效能,高清(1366×768),曲面,不选,2m以下(≤32英寸),新品电视,不选,59
菲利普,48-50英寸,一级效能,不选,商业显示,互联网品牌,2m-2.5m(33-45英寸),京品电视,线下同款,72
酷开,70-75英寸,一级效能,全高清(1920×1080),4K超清,国产品牌,不选,京品电视,不选,68
sharp,65英寸,二级效能,4k超高清(3840×2160),商业显示,国产品牌,2m以下(≤32英寸),不选,不选,70
sharp,70-75英寸,一级效能,高清(1366×768),激光电视,合资品牌,3m-3.5m(56-65英寸),不选,线下同款,70
酷开,65英寸,无效能等级,高清(1366×768),大屏,不选,2m-2.5m(33-45英寸),京品电视,不选,63
Panasonic,70-75英寸,不选,不选,量子点,国产品牌,2.5m-3m(46-55英寸),新品电视,线下同款,67
sharp,不选,一级效能,不选,游戏电视,互联网品牌,3.5m以上(70英寸以上),京品电视,不选,63
VID^^,55英寸,二级效能,不选,OLED,国产品牌,2.5m-3m(46-55英寸),京品电视,线上专供,61
菲利普,不选,二级效能,8k超高清(7680×4320),教育电视,商业显示品牌,3.5m以上(70英寸以上),京品电视,不选,57
菲利普,32英寸及以下,无效能等级,4k超高清(3840×2160),超薄,不选,不选,京品电视,线上专供,65
创维,39-45英寸,三级效能,4k超高清(3840×2160),4K超清,不选,3.5m以上(70英寸以上),京品电视,不选,65
Panasonic,32英寸及以下,一级效能,全高清(1920×1080),超薄,合资品牌,不选,不选,线下同款,67
Panasonic,58-60英寸,二级效能,8k超高清(7680×4320),游戏电视,不选,2m以下(≤32英寸),京品电视,线下同款,71
三星,不选,无效能等级,全高清(1920×1080),商业显示,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,66
华为,70-75英寸,三级效能,高清(1366×768),商业显示,国产品牌,2m以下(≤32英寸),京品电视,线上专供,69
创维,55英寸,一级效能,8k超高清(7680×4320),游戏电视,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,65
tcl,78英寸及以上,二级效能,8k超高清(7680×4320),激光电视,互联网品牌,2.5m-3m(46-55英寸),新品电视,不选,60
不选,58-60英寸,三级效能,8k超高清(7680×4320),教育电视,国产品牌,3m-3.5m(56-65英寸),不选,线下同款,59
haier,39-45英寸,二级效能,不选,曲面,国产品牌,不选,不选,不选,64
LG,48-50英寸,二级效能,4k超高清(3840×2160),大屏,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线下同款,66
konka,55英寸,不选,8k超高清(7680×4320),人工智能,合资品牌,3.5m以上(70英寸以上),不选,不选,62
konka,不选,三级效能,4k超高清(3840×2160),OLED,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,56
LG,55英寸,无效能等级,不选,4K超清,互联网品牌,不选,不选,不选,65
sony,32英寸及以下,三级效能,全高清(1920×1080),全面屏,不选,3.5m以上(70英寸以上),不选,不选,56
创维,65英寸,三级效能,高清(1366×768),全面屏,不选,2.5m-3m(46-55英寸),不选,不选,51
小米,不选,无效能等级,4k超高清(3840×2160),教育电视,合资品牌,2m以下(≤32英寸),新品电视,不选,47
sony,58-60英寸,不选,不选,OLED,不选,2.5m-3m(46-55英寸),新品电视,线下同款,57
MAXHUB,55英寸,无效能等级,8k超高清(7680×4320),量子点,商业显示品牌,2m以下(≤32英寸),京品电视,线下同款,69
酷开,39-45英寸,二级效能,8k超高清(7680×4320),商业显示,不选,3m-3.5m(56-65英寸),不选,线上专供,62
sony,58-60英寸,不选,8k超高清(7680×4320),超薄,国产品牌,2m-2.5m(33-45英寸),不选,不选,53
不选,48-50英寸,不选,不选,全面屏,国产品牌,2m以下(≤32英寸),京品电视,不选,45
VIH,65英寸,不选,全高清(1920×1080),曲面,国产品牌,3m-3.5m(56-65英寸),京品电视,线下同款,64
长虹,不选,不选,8k超高清(7680×4320),商业显示,互联网品牌,不选,京品电视,线下同款,53
华为,32英寸及以下,不选,8k超高清(7680×4320),4K超清,合资品牌,2.5m-3m(46-55英寸),不选,线上专供,62
VID^^,32英寸及以下,无效能等级,高清(1366×768),智慧屏,互联网品牌,3m-3.5m(56-65英寸),京品电视,线下同款,64
sony,58-60英寸,一级效能,全高清(1920×1080),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),京品电视,不选,57
VID^^,48-50英寸,不选,4k超高清(3840×2160),激光电视,合资品牌,3m-3.5m(56-65英寸),新品电视,不选,63
Panasonic,39-45英寸,一级效能,不选,曲面,不选,3.5m以上(70英寸以上),不选,线上专供,56
VIH,55英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,62
haier,48-50英寸,不选,8k超高清(7680×4320),4K超清,商业显示品牌,2m-2.5m(33-45英寸),不选,不选,53
Panasonic,78英寸及以上,不选,全高清(1920×1080),商业显示,合资品牌,3m-3.5m(56-65英寸),京品电视,不选,60
三星,78英寸及以上,三级效能,4k超高清(3840×2160),量子点,不选,不选,不选,线下同款,61
MAXHUB,不选,不选,4k超高清(3840×2160),OLED,商业显示品牌,2.5m-3m(46-55英寸),新品电视,不选,52
tcl,39-45英寸,一级效能,8k超高清(7680×4320),人工智能,国产品牌,2m-2.5m(33-45英寸),京品电视,线下同款,55
konka,78英寸及以上,三级效能,全高清(1920×1080),教育电视,互联网品牌,3.5m以上(70英寸以上),新品电视,线下同款,60
酷开,58-60英寸,一级效能,不选,激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,64
konka,58-60英寸,一级效能,高清(1366×768),大屏,互联网品牌,2m-2.5m(33-45英寸),不选,线下同款,54
MAXHUB,32英寸及以下,二级效能,不选,人工智能,不选,不选,新品电视,不选,60
小米,55英寸,二级效能,高清(1366×768),智慧屏,合资品牌,2.5m-3m(46-55英寸),不选,线下同款,58
sony,48-50英寸,三级效能,4k超高清(3840×2160),量子点,国产品牌,2.5m-3m(46-55英寸),京品电视,不选,56
小米,39-45英寸,一级效能,4k超高清(3840×2160),不选,商业显示品牌,3m-3.5m(56-65英寸),京品电视,不选,44
酷开,70-75英寸,无效能等级,4k超高清(3840×2160),不选,国产品牌,3m-3.5m(56-65英寸),新品电视,线下同款,50
tcl,32英寸及以下,二级效能,4k超高清(3840×2160),人工智能,互联网品牌,2m以下(≤32英寸),不选,线下同款,59
sharp,78英寸及以上,无效能等级,全高清(1920×1080),不选,合资品牌,不选,京品电视,不选,50
菲利普,48-50英寸,不选,8k超高清(7680×4320),游戏电视,国产品牌,2.5m-3m(46-55英寸),不选,线上专供,58
VID^^,70-75英寸,三级效能,不选,商业显示,合资品牌,不选,不选,不选,60
创维,78英寸及以上,不选,不选,超薄,合资品牌,3.5m以上(70英寸以上),京品电视,不选,47
不选,39-45英寸,不选,高清(1366×768),激光电视,不选,不选,京品电视,线上专供,51
小米,65英寸,不选,4k超高清(3840×2160),游戏电视,不选,3m-3.5m(56-65英寸),不选,不选,47
sharp,65英寸,无效能等级,全高清(1920×1080),人工智能,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,63
小米,58-60英寸,三级效能,不选,不选,商业显示品牌,2m以下(≤32英寸),不选,线下同款,44
Hisense,55英寸,三级效能,4k超高清(3840×2160),4K超清,合资品牌,3m-3.5m(56-65英寸),新品电视,线下同款,59
不选,32英寸及以下,一级效能,8k超高清(7680×4320),不选,互联网品牌,3.5m以上(70英寸以上),京品电视,线下同款,35
创维,48-50英寸,无效能等级,8k超高清(7680×4320),OLED,合资品牌,2m以下(≤32英寸),新品电视,线下同款,50
sony,39-45英寸,无效能等级,8k超高清(7680×4320),教育电视,不选,不选,京品电视,线上专供,44
不选,70-75英寸,一级效能,不选,OLED,商业显示品牌,不选,京品电视,线上专供,40
VIH,58-60英寸,二级效能,全高清(1920×1080),大屏,合资品牌,3.5m以上(70英寸以上),新品电视,不选,61
小米,48-50英寸,无效能等级,高清(1366×768),曲面,互联网品牌,3.5m以上(70英寸以上),新品电视,不选,48
长虹,32英寸及以下,不选,不选,不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,39
sony,78英寸及以上,二级效能,高清(1366×768),大屏,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,54
haier,55英寸,无效能等级,全高清(1920×1080),商业显示,不选,2.5m-3m(46-55英寸),新品电视,不选,55
VIH,70-75英寸,二级效能,不选,激光电视,不选,2m-2.5m(33-45英寸),不选,不选,58
三星,39-45英寸,三级效能,8k超高清(7680×4320),OLED,合资品牌,不选,新品电视,线上专供,49
LG,70-75英寸,二级效能,高清(1366×768),不选,互联网品牌,2m以下(≤32英寸),新品电视,不选,50
MAXHUB,65英寸,一级效能,全高清(1920×1080),教育电视,国产品牌,不选,不选,不选,53
华为,32英寸及以下,无效能等级,全高清(1920×1080),OLED,商业显示品牌,2m-2.5m(33-45英寸),不选,不选,49
三星,39-45英寸,三级效能,不选,人工智能,互联网品牌,2.5m-3m(46-55英寸),不选,不选,50
小米,58-60英寸,不选,4k超高清(3840×2160),人工智能,国产品牌,不选,不选,线上专供,43
Panasonic,55英寸,不选,4k超高清(3840×2160),激光电视,商业显示品牌,2.5m-3m(46-55英寸),不选,不选,54
VIH,48-50英寸,一级效能,8k超高清(7680×4320),全面屏,合资品牌,3m-3.5m(56-65英寸),不选,不选,52
sharp,48-50英寸,三级效能,全高清(1920×1080),4K超清,不选,2m以下(≤32英寸),新品电视,线下同款,56
LG,65英寸,一级效能,高清(1366×768),全面屏,合资品牌,3.5m以上(70英寸以上),新品电视,线下同款,55
sharp,32英寸及以下,三级效能,高清(1366×768),游戏电视,国产品牌,不选,京品电视,线上专供,57
Hisense,58-60英寸,三级效能,全高清(1920×1080),激光电视,国产品牌,不选,不选,线下同款,46
不选,70-75英寸,无效能等级,8k超高清(7680×4320),全面屏,商业显示品牌,2m-2.5m(33-45英寸),京品电视,线下同款,46
VIH,55英寸,三级效能,8k超高清(7680×4320),人工智能,国产品牌,不选,新品电视,线下同款,52
haier,78英寸及以上,不选,不选,激光电视,不选,3.5m以上(70英寸以上),不选,线下同款,46
haier,58-60英寸,无效能等级,高清(1366×768),4K超清,互联网品牌,2m以下(≤32英寸),京品电视,线上专供,52
长虹,65英寸,二级效能,8k超高清(7680×4320),曲面,合资品牌,2m-2.5m(33-45英寸),不选,线下同款,50
华为,39-45英寸,二级效能,高清(1366×768),量子点,不选,2.5m-3m(46-55英寸),不选,不选,46
Panasonic,32英寸及以下,不选,8k超高清(7680×4320),全面屏,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,49
VID^^,70-75英寸,一级效能,4k超高清(3840×2160),OLED,不选,3.5m以上(70英寸以上),不选,不选,45
tcl,48-50英寸,三级效能,4k超高清(3840×2160),商业显示,互联网品牌,3m-3.5m(56-65英寸),不选,不选,47
tcl,78英寸及以上,一级效能,高清(1366×768),4K超清,不选,3m-3.5m(56-65英寸),不选,不选,46
三星,55英寸,无效能等级,4k超高清(3840×2160),曲面,国产品牌,2m-2.5m(33-45英寸),不选,线上专供,49
创维,32英寸及以下,三级效能,8k超高清(7680×4320),曲面,国产品牌,2m以下(≤32英寸),京品电视,不选,45
三星,39-45英寸,一级效能,全高清(1920×1080),大屏,国产品牌,2.5m-3m(46-55英寸),京品电视,不选,47
不选,65英寸,一级效能,不选,商业显示,不选,2m以下(≤32英寸),新品电视,线下同款,38
VID^^,58-60英寸,一级效能,8k超高清(7680×4320),智慧屏,合资品牌,不选,新品电视,线上专供,53
sharp,70-75英寸,不选,8k超高清(7680×4320),OLED,互联网品牌,不选,京品电视,线下同款,46
MAXHUB,78英寸及以上,三级效能,8k超高清(7680×4320),超薄,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,55
不选,48-50英寸,一级效能,4k超高清(3840×2160),4K超清,不选,2m-2.5m(33-45英寸),新品电视,线上专供,38
菲利普,39-45英寸,三级效能,不选,游戏电视,不选,2.5m-3m(46-55英寸),新品电视,线下同款,52
长虹,55英寸,二级效能,不选,智慧屏,互联网品牌,3.5m以上(70英寸以上),不选,不选,48
不选,65英寸,二级效能,高清(1366×768),游戏电视,国产品牌,3m-3.5m(56-65英寸),新品电视,不选,41
小米,78英寸及以上,二级效能,不选,曲面,商业显示品牌,3.5m以上(70英寸以上),不选,不选,40
konka,32英寸及以下,不选,全高清(1920×1080),游戏电视,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,48
华为,58-60英寸,二级效能,全高清(1920×1080),不选,国产品牌,2.5m-3m(46-55英寸),京品电视,线下同款,45
VID^^,70-75英寸,不选,不选,教育电视,不选,2m以下(≤32英寸),新品电视,线下同款,46
sony,65英寸,三级效能,不选,大屏,国产品牌,2m-2.5m(33-45英寸),新品电视,线下同款,41
酷开,48-50英寸,无效能等级,全高清(1920×1080),智慧屏,国产品牌,2.5m-3m(46-55英寸),不选,线下同款,51
Hisense,39-45英寸,三级效能,高清(1366×768),商业显示,商业显示品牌,3.5m以上(70英寸以上),京品电视,线下同款,46
MAXHUB,55英寸,一级效能,4k超高清(3840×2160),商业显示,互联网品牌,不选,京品电视,线上专供,53
创维,32英寸及以下,三级效能,不选,OLED,互联网品牌,3m-3.5m(56-65英寸),不选,线上专供,45
Hisense,70-75英寸,无效能等级,不选,4K超清,不选,3.5m以上(70英寸以上),新品电视,线上专供,43
LG,58-60英寸,无效能等级,8k超高清(7680×4320),量子点,不选,3m-3.5m(56-65英寸),不选,不选,51
VIH,78英寸及以上,不选,4k超高清(3840×2160),OLED,国产品牌,2m以下(≤32英寸),不选,线上专供,45
Hisense,65英寸,无效能等级,4k超高清(3840×2160),超薄,合资品牌,3.5m以上(70英寸以上),不选,线下同款,45
不选,55英寸,一级效能,高清(1366×768),量子点,合资品牌,2m以下(≤32英寸),不选,不选,38
华为,39-45英寸,一级效能,8k超高清(7680×4320),全面屏,互联网品牌,2m以下(≤32英寸),京品电视,不选,44
华为,48-50英寸,一级效能,不选,人工智能,合资品牌,不选,不选,不选,41
LG,32英寸及以下,不选,不选,大屏,合资品牌,2m以下(≤32英寸),京品电视,不选,47
tcl,70-75英寸,三级效能,8k超高清(7680×4320),曲面,不选,不选,京品电视,不选,39
sharp,78英寸及以上,不选,不选,智慧屏,不选,2.5m-3m(46-55英寸),不选,不选,43
三星,58-60英寸,二级效能,4k超高清(3840×2160),激光电视,合资品牌,不选,京品电视,不选,44
MAXHUB,39-45英寸,不选,8k超高清(7680×4320),超薄,不选,3m-3.5m(56-65英寸),不选,线下同款,47
Hisense,65英寸,不选,8k超高清(7680×4320),教育电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,43
菲利普,55英寸,不选,高清(1366×768),不选,不选,2m以下(≤32英寸),京品电视,不选,39
华为,48-50英寸,二级效能,4k超高清(3840×2160),游戏电视,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,45
VIH,78英寸及以上,一级效能,不选,量子点,互联网品牌,2m-2.5m(33-45英寸),新品电视,线下同款,50
sony,70-75英寸,不选,全高清(1920×1080),激光电视,互联网品牌,3.5m以上(70英寸以上),新品电视,不选,42
VID^^,32英寸及以下,不选,全高清(1920×1080),量子点,国产品牌,不选,不选,线下同款,44
tcl,58-60英寸,不选,全高清(1920×1080),教育电视,合资品牌,2m以下(≤32英寸),京品电视,不选,41
sharp,48-50英寸,无效能等级,4k超高清(3840×2160),全面屏,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,48
haier,65英寸,二级效能,4k超高清(3840×2160),不选,商业显示品牌,不选,新品电视,线下同款,38
酷开,55英寸,一级效能,不选,游戏电视,不选,不选,不选,线下同款,39
VID^^,39-45英寸,无效能等级,不选,不选,合资品牌,2m-2.5m(33-45英寸),新品电视,线下同款,39
创维,70-75英寸,三级效能,4k超高清(3840×2160),超薄,互联网品牌,2m-2.5m(33-45英寸),新品电视,线下同款,44
不选,32英寸及以下,无效能等级,4k超高清(3840×2160),激光电视,国产品牌,2.5m-3m(46-55英寸),不选,线下同款,34
菲利普,70-75英寸,二级效能,高清(1366×768),智慧屏,国产品牌,2m-2.5m(33-45英寸),新品电视,线上专供,48
VID^^,65英寸,二级效能,高清(1366×768),人工智能,商业显示品牌,2m-2.5m(33-45英寸),京品电视,不选,46
MAXHUB,58-60英寸,二级效能,不选,人工智能,合资品牌,3m-3.5m(56-65英寸),京品电视,线上专供,45
华为,55英寸,二级效能,不选,不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,39
LG,39-45英寸,二级效能,4k超高清(3840×2160),游戏电视,合资品牌,3.5m以上(70英寸以上),不选,不选,42
LG,不选,无效能等级,不选,曲面,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,46
菲利普,78英寸及以上,不选,不选,4K超清,商业显示品牌,不选,新品电视,线上专供,47
小米,48-50英寸,二级效能,8k超高清(7680×4320),人工智能,国产品牌,3m-3.5m(56-65英寸),不选,线下同款,33
sharp,32英寸及以下,二级效能,8k超高清(7680×4320),大屏,商业显示品牌,2.5m-3m(46-55英寸),不选,线下同款,45
Panasonic,65英寸,无效能等级,不选,智慧屏,国产品牌,不选,新品电视,不选,44
不选,58-60英寸,不选,4k超高清(3840×2160),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,不选,23
konka,39-45英寸,无效能等级,全高清(1920×1080),超薄,国产品牌,3m-3.5m(56-65英寸),京品电视,不选,46
